DateTime,Snow Depth (m),Source
10/1/18,0.000243026,Water Year 2019
10/2/18,0.00046603,Water Year 2019
10/3/18,0.000186979,Water Year 2019
10/4/18,0.000840536,Water Year 2019
10/5/18,0.001417468,Water Year 2019
10/6/18,0.002831024,Water Year 2019
10/7/18,0.001545972,Water Year 2019
10/8/18,0.001085205,Water Year 2019
10/9/18,0.001079017,Water Year 2019
10/10/18,0.001952233,Water Year 2019
10/11/18,0.008206272,Water Year 2019
10/12/18,0.007819789,Water Year 2019
10/13/18,0.005373276,Water Year 2019
10/14/18,0.002922979,Water Year 2019
10/15/18,0.005788585,Water Year 2019
10/16/18,0.004560527,Water Year 2019
10/17/18,0.001833065,Water Year 2019
10/18/18,0.001168401,Water Year 2019
10/19/18,0.000761976,Water Year 2019
10/20/18,0.00042886,Water Year 2019
10/21/18,0.000255122,Water Year 2019
10/22/18,0.000109654,Water Year 2019
10/23/18,5.56394E-05,Water Year 2019
10/24/18,7.4586E-05,Water Year 2019
10/25/18,9.95302E-05,Water Year 2019
10/26/18,0.000118648,Water Year 2019
10/27/18,0.000191969,Water Year 2019
10/28/18,0.000212408,Water Year 2019
10/29/18,0.000225085,Water Year 2019
10/30/18,0.000359122,Water Year 2019
10/31/18,0.000713103,Water Year 2019
11/1/18,0.001200449,Water Year 2019
11/2/18,0.001994831,Water Year 2019
11/3/18,0.002270787,Water Year 2019
11/4/18,0.003492613,Water Year 2019
11/5/18,0.004717022,Water Year 2019
11/6/18,0.005609247,Water Year 2019
11/7/18,0.006601825,Water Year 2019
11/8/18,0.008533437,Water Year 2019
11/9/18,0.009159959,Water Year 2019
11/10/18,0.010597304,Water Year 2019
11/11/18,0.023713313,Water Year 2019
11/12/18,0.028044078,Water Year 2019
11/13/18,0.030701356,Water Year 2019
11/14/18,0.030213311,Water Year 2019
11/15/18,0.023391943,Water Year 2019
11/16/18,0.014133999,Water Year 2019
11/17/18,0.013584449,Water Year 2019
11/18/18,0.019019397,Water Year 2019
11/19/18,0.020838488,Water Year 2019
11/20/18,0.022279717,Water Year 2019
11/21/18,0.020342896,Water Year 2019
11/22/18,0.016701795,Water Year 2019
11/23/18,0.015688218,Water Year 2019
11/24/18,0.015871879,Water Year 2019
11/25/18,0.017702265,Water Year 2019
11/26/18,0.027871279,Water Year 2019
