DateTime,Streamflow,Source
10/1/18,1827.2341,Water Year 2019
10/2/18,1850.5345,Water Year 2019
10/3/18,1894.4579,Water Year 2019
10/4/18,1954.055,Water Year 2019
10/5/18,2009.3408,Water Year 2019
10/6/18,2019.712,Water Year 2019
10/7/18,2017.7936,Water Year 2019
10/8/18,2048.975,Water Year 2019
10/9/18,2043.5614,Water Year 2019
10/10/18,2124.802,Water Year 2019
10/11/18,2263.9792,Water Year 2019
10/12/18,2500.75,Water Year 2019
10/13/18,2848.6667,Water Year 2019
10/14/18,3044.7378,Water Year 2019
10/15/18,3030.3516,Water Year 2019
10/16/18,2783.408,Water Year 2019
10/17/18,2513.0132,Water Year 2019
10/18/18,2418.5452,Water Year 2019
10/19/18,2363.4858,Water Year 2019
10/20/18,2333.2568,Water Year 2019
10/21/18,2303.3235,Water Year 2019
10/22/18,2279.995,Water Year 2019
10/23/18,2267.1682,Water Year 2019
10/24/18,2265.4692,Water Year 2019
10/25/18,2260.2473,Water Year 2019
10/26/18,2255.3547,Water Year 2019
10/27/18,2261.1995,Water Year 2019
10/28/18,2258.3884,Water Year 2019
10/29/18,2268.9153,Water Year 2019
10/30/18,2282.3076,Water Year 2019
10/31/18,2315.6394,Water Year 2019
11/1/18,2353.167,Water Year 2019
11/2/18,2447.3066,Water Year 2019
11/3/18,2392.3796,Water Year 2019
11/4/18,2409.9702,Water Year 2019
11/5/18,2414.941,Water Year 2019
11/6/18,2446.1274,Water Year 2019
11/7/18,2514.824,Water Year 2019
11/8/18,2539.1604,Water Year 2019
11/9/18,2567.4558,Water Year 2019
11/10/18,2607.4644,Water Year 2019
11/11/18,2607.57,Water Year 2019
11/12/18,2567.6755,Water Year 2019
11/13/18,2508.4565,Water Year 2019
11/14/18,2448.7383,Water Year 2019
11/15/18,2410.2634,Water Year 2019
11/16/18,2391.5898,Water Year 2019
11/17/18,2377.6072,Water Year 2019
11/18/18,2368.9497,Water Year 2019
11/19/18,2356.6094,Water Year 2019
11/20/18,2340.8591,Water Year 2019
11/21/18,2313.0225,Water Year 2019
11/22/18,2281.5232,Water Year 2019
11/23/18,2244.571,Water Year 2019
11/24/18,2226.333,Water Year 2019
11/25/18,2216.4302,Water Year 2019
11/26/18,2235.562,Water Year 2019
11/27/18,2213.3528,Water Year 2019
11/28/18,2184.3855,Water Year 2019
11/29/18,2180.117,Water Year 2019
11/30/18,2170.4644,Water Year 2019
12/1/18,2156.6746,Water Year 2019
12/2/18,2248.9338,Water Year 2019
12/3/18,2210.4985,Water Year 2019
12/4/18,2293.9678,Water Year 2019
12/5/18,2255.5083,Water Year 2019
12/6/18,2282.8464,Water Year 2019
12/7/18,2326.5645,Water Year 2019
12/8/18,2279.7917,Water Year 2019
12/9/18,2206.2825,Water Year 2019
12/10/18,2135.9346,Water Year 2019
12/11/18,2077.0217,Water Year 2019
12/12/18,2033.3763,Water Year 2019
12/13/18,1997.4774,Water Year 2019
12/14/18,1987.3126,Water Year 2019
12/15/18,2024.0626,Water Year 2019
12/16/18,2037.722,Water Year 2019
12/17/18,1979.3602,Water Year 2019
12/18/18,1948.8942,Water Year 2019
12/19/18,1923.3959,Water Year 2019
12/20/18,1907.483,Water Year 2019
12/21/18,1892.2015,Water Year 2019
12/22/18,1876.5045,Water Year 2019
12/23/18,1860.8795,Water Year 2019
12/24/18,1848.7377,Water Year 2019
12/25/18,1840.8057,Water Year 2019
12/26/18,1843.706,Water Year 2019
12/27/18,1836.4528,Water Year 2019
12/28/18,1971.2867,Water Year 2019
12/29/18,1970.8448,Water Year 2019
12/30/18,2107.397,Water Year 2019
12/31/18,2129.9143,Water Year 2019
1/1/19,2405.9734,Water Year 2019
1/2/19,2551.5205,Water Year 2019
1/3/19,2672.451,Water Year 2019
1/4/19,2578.7742,Water Year 2019
1/5/19,2456.956,Water Year 2019
1/6/19,2382.3875,Water Year 2019
1/7/19,2341.851,Water Year 2019
1/8/19,2350.1338,Water Year 2019
1/9/19,2351.5232,Water Year 2019
1/10/19,2390.8835,Water Year 2019
1/11/19,2374.277,Water Year 2019
1/12/19,2461.2935,Water Year 2019
1/13/19,2515.4246,Water Year 2019
1/14/19,2439.6626,Water Year 2019
1/15/19,2338.6406,Water Year 2019
1/16/19,2271.0063,Water Year 2019
1/17/19,2250.242,Water Year 2019
1/18/19,2283.189,Water Year 2019
1/19/19,2339.0286,Water Year 2019
1/20/19,2408.1003,Water Year 2019
1/21/19,2456.4814,Water Year 2019
1/22/19,2455.0923,Water Year 2019
1/23/19,2428.5894,Water Year 2019
1/24/19,2512.842,Water Year 2019
1/25/19,2455.8281,Water Year 2019
1/26/19,2414.0383,Water Year 2019
1/27/19,2346.392,Water Year 2019
1/28/19,2323.4377,Water Year 2019
1/29/19,2319.9802,Water Year 2019
1/30/19,2283.696,Water Year 2019
1/31/19,2256.4016,Water Year 2019
2/1/19,2228.979,Water Year 2019
2/2/19,2227.1116,Water Year 2019
2/3/19,2252.156,Water Year 2019
2/4/19,2297.519,Water Year 2019
2/5/19,2368.903,Water Year 2019
2/6/19,2483.4832,Water Year 2019
2/7/19,2720.4119,Water Year 2019
2/8/19,2906.2358,Water Year 2019
2/9/19,2970.7712,Water Year 2019
2/10/19,3030.957,Water Year 2019
2/11/19,2995.102,Water Year 2019
2/12/19,2856.4255,Water Year 2019
2/13/19,2801.159,Water Year 2019
2/14/19,2814.5164,Water Year 2019
2/15/19,2902.2444,Water Year 2019
2/16/19,2942.0522,Water Year 2019
2/17/19,3024.8328,Water Year 2019
2/18/19,3096.191,Water Year 2019
2/19/19,3176.8591,Water Year 2019
2/20/19,3274.2612,Water Year 2019
2/21/19,3272.9343,Water Year 2019
2/22/19,3187.5583,Water Year 2019
2/23/19,3092.6511,Water Year 2019
2/24/19,3083.0906,Water Year 2019
2/25/19,3121.9106,Water Year 2019
2/26/19,3122.3877,Water Year 2019
2/27/19,3161.817,Water Year 2019
2/28/19,3176.787,Water Year 2019
3/1/19,3228.2046,Water Year 2019
3/2/19,3259.369,Water Year 2019
3/3/19,3223.3784,Water Year 2019
3/4/19,3147.4023,Water Year 2019
3/5/19,3062.482,Water Year 2019
3/6/19,2987.0962,Water Year 2019
3/7/19,2932.0698,Water Year 2019
3/8/19,2900.368,Water Year 2019
3/9/19,2870.0635,Water Year 2019
3/10/19,2930.0388,Water Year 2019
3/11/19,3059.6519,Water Year 2019
3/12/19,3240.453,Water Year 2019
3/13/19,3321.4,Water Year 2019
3/14/19,3368.6,Water Year 2019
3/15/19,3531.118,Water Year 2019
3/16/19,3635.6628,Water Year 2019
3/17/19,3687.4368,Water Year 2019
3/18/19,3727.709,Water Year 2019
3/19/19,3834.4446,Water Year 2019
3/20/19,3920.3374,Water Year 2019
3/21/19,3929.3176,Water Year 2019
3/22/19,3896.4492,Water Year 2019
3/23/19,3941.509,Water Year 2019
3/24/19,4079.552,Water Year 2019
3/25/19,4294.614,Water Year 2019
3/26/19,4425.5093,Water Year 2019
3/27/19,4444.405,Water Year 2019
3/28/19,4383.857,Water Year 2019
3/29/19,4259.9067,Water Year 2019
3/30/19,4204.8843,Water Year 2019
3/31/19,4248.1733,Water Year 2019
4/1/19,4236.8125,Water Year 2019
4/2/19,4302.275,Water Year 2019
4/3/19,4335.3213,Water Year 2019
4/4/19,4389.557,Water Year 2019
4/5/19,4405.106,Water Year 2019
4/6/19,4359.809,Water Year 2019
4/7/19,4369.718,Water Year 2019
4/8/19,4305.283,Water Year 2019
4/9/19,4187.792,Water Year 2019
4/10/19,4074.5212,Water Year 2019
4/11/19,3999.6733,Water Year 2019
4/12/19,3989.722,Water Year 2019
4/13/19,4056.201,Water Year 2019
4/14/19,4052.97,Water Year 2019
4/15/19,4155.361,Water Year 2019
4/16/19,4089.3494,Water Year 2019
4/17/19,4130.951,Water Year 2019
4/18/19,4148.485,Water Year 2019
4/19/19,4315.428,Water Year 2019
4/20/19,4337.304,Water Year 2019
4/21/19,4409.259,Water Year 2019
4/22/19,4473.156,Water Year 2019
4/23/19,4546.4062,Water Year 2019
4/24/19,4575.465,Water Year 2019
4/25/19,4522.6987,Water Year 2019
4/26/19,4391.9775,Water Year 2019
4/27/19,4268.2188,Water Year 2019
4/28/19,4145.961,Water Year 2019
4/29/19,4089.6472,Water Year 2019
4/30/19,4105.616,Water Year 2019
5/1/19,4123.565,Water Year 2019
5/2/19,4474.784,Water Year 2019
5/3/19,4582.738,Water Year 2019
5/4/19,4924.4917,Water Year 2019
