DateTime,ET,Year
04/01,0.31,2016
04/02,0.44,2016
04/03,0.51,2016
04/04,0.51,2016
04/05,0.54,2016
04/06,0.55,2016
04/07,0.37,2016
04/08,0.08,2016
04/09,-0.12,2016
04/10,-0.19,2016
04/11,-0.17,2016
04/12,-0.1,2016
04/13,0.07,2016
04/14,0.09,2016
04/15,0.05,2016
04/16,-0.06,2016
04/17,-0.19,2016
04/18,-0.23,2016
04/19,-0.16,2016
04/20,-0.24,2016
04/21,-0.19,2016
04/22,-0.08,2016
04/23,0.07,2016
04/24,0.07,2016
04/25,-0.1,2016
04/26,-0.32,2016
04/27,-0.43,2016
04/28,-0.4,2016
04/29,-0.27,2016
04/30,-0.13,2016
05/01,0.14,2016
05/02,0.45,2016
05/03,0.72,2016
05/04,0.82,2016
05/05,0.72,2016
05/06,0.55,2016
05/07,0.47,2016
05/08,0.31,2016
05/09,0.13,2016
05/10,-0.02,2016
05/11,-0.17,2016
05/12,-0.3,2016
05/13,-0.38,2016
05/14,-0.54,2016
05/15,-0.61,2016
05/16,-0.65,2016
05/17,-0.71,2016
05/18,-0.68,2016
05/19,-0.64,2016
05/20,-0.5,2016
05/21,-0.39,2016
05/22,-0.38,2016
05/23,-0.31,2016
05/24,-0.31,2016
05/25,-0.35,2016
05/26,-0.37,2016
05/27,-0.46,2016
05/28,-0.5,2016
05/29,-0.54,2016
05/30,-0.65,2016
05/31,-0.68,2016
06/01,-0.65,2016
06/02,-0.66,2016
06/03,-0.67,2016
06/04,-0.75,2016
06/05,-0.75,2016
06/06,-0.74,2016
06/07,-0.74,2016
06/08,-0.65,2016
06/09,-0.59,2016
06/10,-0.55,2016
06/11,-0.42,2016
06/12,-0.27,2016
06/13,-0.15,2016
06/14,-0.11,2016
06/15,-0.19,2016
06/16,-0.12,2016
06/17,-0.11,2016
06/18,-0.2,2016
06/19,-0.31,2016
06/20,-0.41,2016
06/21,-0.46,2016
06/22,-0.47,2016
06/23,-0.61,2016
06/24,-0.69,2016
06/25,-0.73,2016
06/26,-0.76,2016
06/27,-0.77,2016
06/28,-0.71,2016
06/29,-0.75,2016
06/30,-0.74,2016
07/01,-0.7,2016
07/02,-0.64,2016
07/03,-0.61,2016
07/04,-0.56,2016
07/05,-0.57,2016
07/06,-0.54,2016
07/07,-0.45,2016
07/08,-0.4,2016
07/09,-0.38,2016
07/10,-0.36,2016
07/11,-0.4,2016
07/12,-0.44,2016
07/13,-0.44,2016
07/14,-0.45,2016
07/15,-0.45,2016
07/16,-0.43,2016
07/17,-0.39,2016
07/18,-0.33,2016
07/19,-0.31,2016
07/20,-0.29,2016
07/21,-0.29,2016
07/22,-0.31,2016
07/23,-0.35,2016
07/24,-0.28,2016
07/25,-0.27,2016
07/26,-0.21,2016
07/27,-0.18,2016
07/28,-0.13,2016
07/29,-0.07,2016
07/30,0.02,2016
07/31,-0.01,2016
08/01,0.07,2016
08/02,0.03,2016
08/03,-0.04,2016
08/04,-0.16,2016
08/05,-0.21,2016
08/06,-0.17,2016
08/07,-0.11,2016
08/08,-0.08,2016
08/09,-0.03,2016
08/10,0.01,2016
08/11,0.07,2016
08/12,0.1,2016
08/13,0.01,2016
08/14,-0.02,2016
08/15,-0.11,2016
08/16,-0.11,2016
08/17,-0.04,2016
