DateTime,RZSM,Year
04/01,-0.31,2016
04/02,-0.39,2016
04/03,-0.48,2016
04/04,-0.57,2016
04/05,-0.59,2016
04/06,-0.61,2016
04/07,-0.64,2016
04/08,-0.68,2016
04/09,-0.72,2016
04/10,-0.77,2016
04/11,-0.81,2016
04/12,-0.86,2016
04/13,-0.87,2016
04/14,-0.85,2016
04/15,-0.82,2016
04/16,-0.78,2016
04/17,-0.73,2016
04/18,-0.66,2016
04/19,-0.59,2016
04/20,-0.56,2016
04/21,-0.55,2016
04/22,-0.52,2016
04/23,-0.48,2016
04/24,-0.45,2016
04/25,-0.41,2016
04/26,-0.35,2016
04/27,-0.28,2016
04/28,-0.19,2016
04/29,-0.12,2016
04/30,-0.06,2016
05/01,-0.02,2016
05/02,0.0,2016
05/03,0.0,2016
05/04,-0.03,2016
05/05,-0.06,2016
05/06,-0.1,2016
05/07,-0.14,2016
05/08,-0.18,2016
05/09,-0.2,2016
05/10,-0.22,2016
05/11,-0.23,2016
05/12,-0.24,2016
05/13,-0.25,2016
05/14,-0.27,2016
05/15,-0.3,2016
05/16,-0.35,2016
05/17,-0.4,2016
05/18,-0.46,2016
05/19,-0.51,2016
05/20,-0.55,2016
05/21,-0.59,2016
05/22,-0.63,2016
05/23,-0.64,2016
05/24,-0.63,2016
05/25,-0.64,2016
05/26,-0.64,2016
05/27,-0.66,2016
05/28,-0.66,2016
05/29,-0.65,2016
05/30,-0.65,2016
05/31,-0.66,2016
06/01,-0.66,2016
06/02,-0.65,2016
06/03,-0.65,2016
06/04,-0.64,2016
06/05,-0.66,2016
06/06,-0.68,2016
06/07,-0.69,2016
06/08,-0.7,2016
06/09,-0.71,2016
06/10,-0.71,2016
06/11,-0.71,2016
06/12,-0.69,2016
06/13,-0.66,2016
06/14,-0.65,2016
06/15,-0.65,2016
06/16,-0.65,2016
06/17,-0.66,2016
06/18,-0.67,2016
06/19,-0.7,2016
06/20,-0.73,2016
06/21,-0.75,2016
06/22,-0.76,2016
06/23,-0.77,2016
06/24,-0.78,2016
06/25,-0.78,2016
06/26,-0.78,2016
06/27,-0.78,2016
06/28,-0.79,2016
06/29,-0.79,2016
06/30,-0.78,2016
07/01,-0.78,2016
07/02,-0.77,2016
07/03,-0.77,2016
07/04,-0.76,2016
07/05,-0.74,2016
07/06,-0.72,2016
07/07,-0.71,2016
07/08,-0.69,2016
07/09,-0.67,2016
07/10,-0.64,2016
07/11,-0.62,2016
07/12,-0.61,2016
07/13,-0.6,2016
07/14,-0.59,2016
07/15,-0.57,2016
07/16,-0.56,2016
07/17,-0.57,2016
07/18,-0.58,2016
07/19,-0.58,2016
07/20,-0.59,2016
07/21,-0.6,2016
07/22,-0.61,2016
07/23,-0.61,2016
07/24,-0.61,2016
07/25,-0.6,2016
07/26,-0.59,2016
07/27,-0.54,2016
07/28,-0.52,2016
07/29,-0.51,2016
07/30,-0.49,2016
07/31,-0.49,2016
08/01,-0.48,2016
08/02,-0.48,2016
08/03,-0.52,2016
08/04,-0.55,2016
08/05,-0.57,2016
08/06,-0.57,2016
08/07,-0.57,2016
08/08,-0.56,2016
08/09,-0.55,2016
08/10,-0.54,2016
08/11,-0.52,2016
08/12,-0.51,2016
08/13,-0.52,2016
08/14,-0.53,2016
08/15,-0.54,2016
08/16,-0.56,2016
08/17,-0.55,2016
08/18,-0.53,2016
08/19,-0.51,2016
08/20,-0.49,2016
08/21,-0.48,2016
08/22,-0.46,2016
08/23,-0.45,2016
08/24,-0.45,2016
08/25,-0.46,2016
08/26,-0.46,2016
08/27,-0.47,2016
08/28,-0.47,2016
08/29,-0.47,2016
08/30,-0.47,2016
08/31,-0.47,2016
09/01,-0.48,2016
09/02,-0.46,2016
09/03,-0.42,2016
09/04,-0.38,2016
09/05,-0.33,2016
09/06,-0.3,2016
09/07,-0.27,2016
09/08,-0.24,2016
09/09,-0.25,2016
09/10,-0.29,2016
09/11,-0.33,2016
09/12,-0.36,2016
09/13,-0.38,2016
09/14,-0.4,2016
09/15,-0.43,2016
09/16,-0.44,2016
09/17,-0.46,2016
09/18,-0.49,2016
09/19,-0.53,2016
09/20,-0.57,2016
09/21,-0.59,2016
09/22,-0.57,2016
09/23,-0.51,2016
09/24,-0.45,2016
09/25,-0.37,2016
09/26,-0.3,2016
09/27,-0.24,2016
09/28,-0.16,2016
09/29,-0.12,2016
09/30,-0.1,2016
04/01,-0.143,2017
04/02,-0.178,2017
04/03,-0.214,2017
04/04,-0.252,2017
04/05,-0.254,2017
04/06,-0.257,2017
04/07,-0.255,2017
04/08,-0.25,2017
04/09,-0.247,2017
04/10,-0.246,2017
04/11,-0.246,2017
04/12,-0.249,2017
04/13,-0.271,2017
04/14,-0.306,2017
04/15,-0.352,2017
04/16,-0.393,2017
04/17,-0.424,2017
04/18,-0.441,2017
04/19,-0.462,2017
04/20,-0.463,2017
04/21,-0.457,2017
