DateTime,Value,Source
12/31/93,0.2747,Sea Level
12/31/94,0.2634,Sea Level
12/31/95,0.2539,Sea Level
12/31/96,0.2471,Sea Level
12/31/97,0.2457,Sea Level
12/31/98,0.2808,Sea Level
12/31/99,0.2907,Sea Level
12/31/00,0.259,Sea Level
12/31/01,0.2446,Sea Level
12/31/02,0.2741,Sea Level
12/31/03,0.2673,Sea Level
12/31/04,0.2567,Sea Level
12/31/05,0.2569,Sea Level
12/31/06,0.2243,Sea Level
12/31/07,0.2518,Sea Level
12/31/08,0.2674,Sea Level
12/31/09,0.2859,Sea Level
12/31/10,0.2623,Sea Level
12/31/11,0.2305,Sea Level
12/31/12,0.2913,Sea Level
12/31/13,0.2817,Sea Level
12/31/14,0.2656,Sea Level
12/31/15,0.2834,Sea Level
12/31/16,0.3389,Sea Level
12/31/17,0.2943,Sea Level
12/31/18,0.3117,Sea Level
12/31/19,0.3647,Sea Level
12/31/20,0.3741,Sea Level
12/31/93,0.2412,Trend
12/31/94,0.2438,Trend
12/31/95,0.2464,Trend
12/31/96,0.249,Trend
12/31/97,0.2516,Trend
12/31/98,0.2542,Trend
12/31/99,0.2568,Trend
12/31/00,0.2594,Trend
12/31/01,0.262,Trend
12/31/02,0.2646,Trend
12/31/03,0.2672,Trend
12/31/04,0.2698,Trend
12/31/05,0.2724,Trend
12/31/06,0.275,Trend
12/31/07,0.2776,Trend
12/31/08,0.2802,Trend
12/31/09,0.2828,Trend
12/31/10,0.2854,Trend
12/31/11,0.288,Trend
12/31/12,0.2906,Trend
12/31/13,0.2932,Trend
12/31/14,0.2958,Trend
12/31/15,0.2984,Trend
12/31/16,0.301,Trend
12/31/17,0.3036,Trend
12/31/18,0.3062,Trend
12/31/19,0.3088,Trend
12/31/20,0.3114,Trend
12/31/93,,Trend post-2002
12/31/94,,Trend post-2002
12/31/95,,Trend post-2002
12/31/96,,Trend post-2002
12/31/97,,Trend post-2002
12/31/98,,Trend post-2002
12/31/99,,Trend post-2002
12/31/00,,Trend post-2002
12/31/01,,Trend post-2002
12/31/02,0.2362,Trend post-2002
12/31/03,0.2415,Trend post-2002
12/31/04,0.2468,Trend post-2002
12/31/05,0.2521,Trend post-2002
12/31/06,0.2574,Trend post-2002
12/31/07,0.2627,Trend post-2002
12/31/08,0.268,Trend post-2002
12/31/09,0.2733,Trend post-2002
12/31/10,0.2786,Trend post-2002
12/31/11,0.2839,Trend post-2002
12/31/12,0.2892,Trend post-2002
12/31/13,0.2945,Trend post-2002
12/31/14,0.2998,Trend post-2002
12/31/15,0.3051,Trend post-2002
12/31/16,0.3104,Trend post-2002
12/31/17,0.3157,Trend post-2002
12/31/18,0.321,Trend post-2002
12/31/19,0.3263,Trend post-2002
12/31/20,0.3316,Trend post-2002
