DateTime,Value,Source
1/1/02,,TWS Anomaly
2/1/02,,TWS Anomaly
3/1/02,,TWS Anomaly
4/1/02,-90.6744,TWS Anomaly
5/1/02,-195.3536,TWS Anomaly
6/1/02,,TWS Anomaly
7/1/02,,TWS Anomaly
8/1/02,-237.0719,TWS Anomaly
9/1/02,-246.4518,TWS Anomaly
10/1/02,-142.1798,TWS Anomaly
11/1/02,-87.2687,TWS Anomaly
12/1/02,-30.0328,TWS Anomaly
1/1/03,-20.5227,TWS Anomaly
2/1/03,-22.7683,TWS Anomaly
3/1/03,27.7141,TWS Anomaly
4/1/03,-62.0237,TWS Anomaly
5/1/03,-171.7224,TWS Anomaly
6/1/03,,TWS Anomaly
7/1/03,-73.3836,TWS Anomaly
8/1/03,-101.2513,TWS Anomaly
9/1/03,-28.7669,TWS Anomaly
10/1/03,-64.5935,TWS Anomaly
11/1/03,-113.096,TWS Anomaly
12/1/03,-61.5569,TWS Anomaly
1/1/04,-64.7076,TWS Anomaly
2/1/04,-17.0377,TWS Anomaly
3/1/04,7.58,TWS Anomaly
4/1/04,-57.4229,TWS Anomaly
5/1/04,-29.274,TWS Anomaly
6/1/04,58.0634,TWS Anomaly
7/1/04,38.1538,TWS Anomaly
8/1/04,-55.6749,TWS Anomaly
9/1/04,-60.9356,TWS Anomaly
10/1/04,-17.253,TWS Anomaly
11/1/04,15.5551,TWS Anomaly
12/1/04,16.124,TWS Anomaly
1/1/05,73.897,TWS Anomaly
2/1/05,159.2788,TWS Anomaly
3/1/05,43.7314,TWS Anomaly
4/1/05,61.7925,TWS Anomaly
5/1/05,-66.8281,TWS Anomaly
6/1/05,-82.9937,TWS Anomaly
7/1/05,-28.6333,TWS Anomaly
8/1/05,2.2886,TWS Anomaly
9/1/05,-29.7427,TWS Anomaly
10/1/05,-121.2017,TWS Anomaly
11/1/05,-166.3843,TWS Anomaly
12/1/05,-135.8379,TWS Anomaly
1/1/06,-144.207,TWS Anomaly
2/1/06,-74.1943,TWS Anomaly
3/1/06,-89.3984,TWS Anomaly
4/1/06,-124.7305,TWS Anomaly
5/1/06,-150.9214,TWS Anomaly
6/1/06,-243.4434,TWS Anomaly
7/1/06,-222.9375,TWS Anomaly
8/1/06,-191.6499,TWS Anomaly
9/1/06,-167.0366,TWS Anomaly
10/1/06,-164.3716,TWS Anomaly
11/1/06,-100.54,TWS Anomaly
12/1/06,-124.8691,TWS Anomaly
1/1/07,-1.4346,TWS Anomaly
2/1/07,-16.732,TWS Anomaly
3/1/07,-67.1436,TWS Anomaly
4/1/07,-46.6505,TWS Anomaly
5/1/07,-43.8062,TWS Anomaly
6/1/07,-91.8096,TWS Anomaly
7/1/07,-16.2242,TWS Anomaly
8/1/07,4.9174,TWS Anomaly
9/1/07,-49.1622,TWS Anomaly
10/1/07,-108.3795,TWS Anomaly
