DateTime,Source,Nitrate Load
2016-01-01,LIS-SWAT,0.09595
2016-01-01,SWAT,0.312
2016-01-01,USGS,0.278000364
2016-01-02,LIS-SWAT,0.09457
2016-01-02,SWAT,0.3102
2016-01-02,USGS,0.262300248
2016-01-03,LIS-SWAT,0.09322
2016-01-03,SWAT,0.3047
2016-01-03,USGS,0.247998741
2016-01-04,LIS-SWAT,0.09167
2016-01-04,SWAT,0.3009
2016-01-04,USGS,0.22708074
2016-01-05,LIS-SWAT,0.09023
2016-01-05,SWAT,0.2939
2016-01-05,USGS,0.211258368
2016-01-06,LIS-SWAT,0.08888
2016-01-06,SWAT,0.2884
2016-01-06,USGS,0.2082362
2016-01-07,LIS-SWAT,0.08767
2016-01-07,SWAT,0.2827
2016-01-07,USGS,0.203333734
2016-01-08,LIS-SWAT,0.08651
2016-01-08,SWAT,0.2762
2016-01-08,USGS,0.19805472
2016-01-09,LIS-SWAT,0.08557
2016-01-09,SWAT,0.2697
2016-01-09,USGS,0.192844169
2016-01-10,LIS-SWAT,0.08454
2016-01-10,SWAT,0.2631
2016-01-10,USGS,0.22189464
2016-01-11,LIS-SWAT,0.08362
2016-01-11,SWAT,0.2562
2016-01-11,USGS,0.220779665
2016-01-12,LIS-SWAT,0.08273
2016-01-12,SWAT,0.2495
2016-01-12,USGS,0.203668716
2016-01-13,LIS-SWAT,0.0819
2016-01-13,SWAT,0.2422
2016-01-13,USGS,0.17868937
2016-01-14,LIS-SWAT,0.08114
2016-01-14,SWAT,0.2349
2016-01-14,USGS,0.171867485
2016-01-15,LIS-SWAT,0.08042
2016-01-15,SWAT,0.2276
2016-01-15,USGS,0.166722952
2016-01-16,LIS-SWAT,0.07985
2016-01-16,SWAT,0.2203
2016-01-16,USGS,0.161866944
2016-01-17,LIS-SWAT,0.07897
2016-01-17,SWAT,0.2132
2016-01-17,USGS,0.148608525
2016-01-18,LIS-SWAT,0.08038
2016-01-18,SWAT,0.2054
2016-01-18,USGS,0.116426834
2016-01-19,LIS-SWAT,0.07962
2016-01-19,SWAT,0.1975
2016-01-19,USGS,0.084811432
2016-01-20,LIS-SWAT,0.0789
2016-01-20,SWAT,0.191
2016-01-20,USGS,0.071699476
2016-01-21,LIS-SWAT,0.07816
2016-01-21,SWAT,0.1843
2016-01-21,USGS,0.135537892
2016-01-22,LIS-SWAT,0.07743
2016-01-22,SWAT,0.178
2016-01-22,USGS,0.154622053
2016-01-23,LIS-SWAT,0.07673
2016-01-23,SWAT,0.1718
2016-01-23,USGS,0.176168451
2016-01-24,LIS-SWAT,0.07603
2016-01-24,SWAT,0.1173
2016-01-24,USGS,0.17033684
2016-01-25,LIS-SWAT,0.07543
2016-01-25,SWAT,0.1114
2016-01-25,USGS,0.153375042
2016-01-26,LIS-SWAT,0.07517
2016-01-26,SWAT,0.05495
2016-01-26,USGS,0.158879007
2016-01-27,LIS-SWAT,0.07444
2016-01-27,SWAT,0.05489
2016-01-27,USGS,0.14102523
2016-01-28,LIS-SWAT,0.07369
2016-01-28,SWAT,0.05497
2016-01-28,USGS,0.143284032
2016-01-29,LIS-SWAT,0.073
2016-01-29,SWAT,0.05461
2016-01-29,USGS,0.146467578
2016-01-30,LIS-SWAT,0.07228
2016-01-30,SWAT,0.0542
2016-01-30,USGS,0.145019089
2016-01-31,LIS-SWAT,0.07202
2016-01-31,SWAT,0.05259
2016-01-31,USGS,0.139686038
2016-02-01,LIS-SWAT,0.07146
2016-02-01,SWAT,0.05129
2016-02-01,USGS,0.145146235
2016-02-02,LIS-SWAT,0.07035
2016-02-02,SWAT,0.05037
2016-02-02,USGS,0.145455299
2016-02-03,LIS-SWAT,0.06988
2016-02-03,SWAT,0.04932
2016-02-03,USGS,0.161285005
2016-02-04,LIS-SWAT,0.06896
2016-02-04,SWAT,0.04817
2016-02-04,USGS,0.169446816
2016-02-05,LIS-SWAT,0.06831
2016-02-05,SWAT,0.04703
2016-02-05,USGS,0.176811517
2016-02-06,LIS-SWAT,0.06765
2016-02-06,SWAT,0.04587
2016-02-06,USGS,0.15414281
2016-02-07,LIS-SWAT,0.06698
2016-02-07,SWAT,0.04485
2016-02-07,USGS,0.154372651
2016-02-08,LIS-SWAT,0.06628
2016-02-08,SWAT,0.04363
2016-02-08,USGS,0.146083694
2016-02-09,LIS-SWAT,0.06529
2016-02-09,SWAT,0.04257
2016-02-09,USGS,0.154580486
2016-02-10,LIS-SWAT,0.06478
2016-02-10,SWAT,0.04149
2016-02-10,USGS,0.143552995
2016-02-11,LIS-SWAT,0.06423
2016-02-11,SWAT,0.04056
2016-02-11,USGS,0.1344816
2016-02-12,LIS-SWAT,0.06445
2016-02-12,SWAT,0.01326
2016-02-12,USGS,0.124139965
2016-02-13,LIS-SWAT,0.06291
2016-02-13,SWAT,0.006608
2016-02-13,USGS,0.109805449
2016-02-14,LIS-SWAT,0.06048
2016-02-14,SWAT,0.006683
2016-02-14,USGS,0.092242886
2016-02-15,LIS-SWAT,0.05973
2016-02-15,SWAT,0.006483
2016-02-15,USGS,0.060130391
2016-02-16,LIS-SWAT,0.05946
2016-02-16,SWAT,0.005676
2016-02-16,USGS,0.087809149
2016-02-17,LIS-SWAT,0.05925
2016-02-17,SWAT,0.005888
2016-02-17,USGS,0.104279967
2016-02-18,LIS-SWAT,0.07249
2016-02-18,SWAT,0.00612
2016-02-18,USGS,0.11914972
2016-02-19,LIS-SWAT,0.0783
2016-02-19,SWAT,0.006081
2016-02-19,USGS,0.12852431
2016-02-20,LIS-SWAT,0.08218
2016-02-20,SWAT,0.004099
2016-02-20,USGS,0.143675251
2016-02-21,LIS-SWAT,0.08264
2016-02-21,SWAT,0.004073
2016-02-21,USGS,0.149516643
2016-02-22,LIS-SWAT,0.08551
2016-02-22,SWAT,0.003415
2016-02-22,USGS,0.160277616
2016-02-23,LIS-SWAT,0.08669
2016-02-23,SWAT,0.002755
2016-02-23,USGS,0.14588564
2016-02-24,LIS-SWAT,0.08425
2016-02-24,SWAT,0.002702
2016-02-24,USGS,0.12919036
2016-02-25,LIS-SWAT,0.08046
2016-02-25,SWAT,0.002669
2016-02-25,USGS,0.12226578
2016-02-26,LIS-SWAT,0.08024
2016-02-26,SWAT,0.005663
2016-02-26,USGS,0.113270184
2016-02-27,LIS-SWAT,0.08034
2016-02-27,SWAT,0.005831
2016-02-27,USGS,0.108856742
2016-02-28,LIS-SWAT,0.08779
2016-02-28,SWAT,0.006042
2016-02-28,USGS,0.103081369
2016-02-29,LIS-SWAT,0.09029
2016-02-29,SWAT,0.007242
2016-02-29,USGS,0.110108644
2016-03-01,LIS-SWAT,0.09346
2016-03-01,SWAT,0.04215
2016-03-01,USGS,0.101257309
2016-03-02,LIS-SWAT,0.09386
2016-03-02,SWAT,0.1465
2016-03-02,USGS,0.105754374
2016-03-03,LIS-SWAT,0.09131
2016-03-03,SWAT,0.08668
